job_id,worker_id,platform,client_region,project_type,job_category,payment_method,work_date,earnings_usd,job_completed,job_duration_days,hourly_rate,job_success_rate,client_rating,rehire_rate,marketing_spend
7972,994,Toptal,Usa,Hourly,Data Entry,PayPal,2025-05-24,0.0,1,58,111.7,86.32,4.18,75.61,286
8962,358,Fiverr,Canada,Hourly,Graphic Design,Bank Transfer,2025-11-14,843.92,271,45,18.69,92.81,4.62,85.68,287
3021,569,Upwork,Europe,Hourly,App Development,Direct Deposit,2025-07-28,3795.56,5,47,123.81,98.75,,14.37,138
3357,315,Fiverr,Uk,Hourly,Customer Support,Direct Deposit,2025-07-01,5228.99,283,4,42.71,63.11,3.38,88.0,370
2752,1810,Upwork,Uk,Hourly,Seo,Direct Deposit,2025-02-13,1579.32,70,36,,60.81,4.1,,11
11397,1392,Freelancer,Middle East,Fixed,Graphic Design,PayPal,2025-12-11,5648.71,160,53,18.98,96.25,4.06,87.26,442
8324,1918,Freelancer,australia,Fixed,  Data Entry  ,PayPal,2025-08-06,4257.31,208,41,24.51,61.07,4.43,70.76,485
6486,742,Toptal,Europe,Hourly,Digital Marketing,PayPal,2025-02-24,4234.15,252,14,67.28,91.14,4.52,80.82,491
1007,1059,Toptal,Australia,Hourly,Customer Support,PayPal,2025-01-21,6883.73,40,22,54.19,67.96,3.97,10.46,397
11603,517,tOPTAL,Usa,Hourly,Graphic Design,Direct Deposit,2025-05-20,324.61,163,35,91.25,96.33,3.43,56.93,291
4492,1103,fREELANCER,CANADA,Fixed,  Seo  ,Mobile Banking,2025-12-24,2668.29,120,14,44.55,74.85,4.47,52.56,354
7815,669,FIVERR,Europe,Hourly,App Development,Crypto,2025-08-17,8074.66,290,55,70.91,67.3,4.09,33.17,34
7803,304,Upwork,Canada,Fixed,Digital Marketing,Mobile Banking,2025-06-22,2164.22,122,26,81.46,66.8,3.46,16.84,481
151,899,Peopleperhour,Usa,Fixed,Web Development,PayPal,2025-09-15,7328.6,164,15,,83.1,4.55,75.47,121
11066,1432,Fiverr,Middle East,Fixed,Graphic Design,Direct Deposit,2025-09-20,0.0,3,30,111.85,86.28,3.63,13.2,162
2705,1710,Upwork,Uk,Fixed,Customer Support,Crypto,2025-01-02,410.28,228,48,,74.78,3.09,29.08,441
6114,148,Fiverr,Middle East,Hourly,Digital Marketing,Mobile Banking,2025-10-09,5152.4,21,39,130.49,62.43,3.75,83.08,71
5997,1571,PEOPLEPERHOUR,Asia,Fixed,Seo,Direct Deposit,2025-02-06,1794.54,156,15,83.89,81.45,4.76,37.77,104
1012,302,Upwork,Australia,Hourly,Web Development,Crypto,2025-01-31,6675.82,300,1,83.88,81.22,3.61,,163
11686,865,Peopleperhour,Usa,Fixed,Digital Marketing,PayPal,2025-08-07,7272.33,221,9,102.61,96.56,4.53,,5
11962,761,Upwork,Europe,Hourly,Digital Marketing,Mobile Banking,2025-06-09,5296.45,60,41,146.2,71.49,4.82,56.21,435
2125,514,Toptal,Europe,Hourly,Web Development,Mobile Banking,2025-01-02,4194.91,246,45,124.41,78.72,4.55,14.23,222
9912,1852,Toptal,europe,Hourly,Content Writing,Direct Deposit,2025-08-21,6017.55,300,3,101.66,88.72,3.69,27.12,489
9300,174,Toptal,Uk,Fixed,Content Writing,Direct Deposit,2025-10-13,1175.14,164,7,142.44,85.38,4.83,51.19,93
10559,876,pEOPLEPERHOUR,Usa,Fixed,Seo,Crypto,2025-12-24,1887.53,69,11,58.03,85.35,3.66,44.57,112
340,383,Freelancer,Uk,Hourly,Seo,Crypto,2025-11-03,5334.82,231,36,138.45,71.83,3.53,39.37,0
12336,1655,Upwork,Asia,Hourly,Digital Marketing,PayPal,2025-09-18,101.41,32,57,77.94,98.98,3.2,29.87,476
2420,1374,pEOPLEPERHOUR,Canada,Hourly,  Graphic Design  ,Direct Deposit,2025-01-11,2778.26,119,48,79.54,74.09,4.83,71.86,118
6076,219,Fiverr,Australia,Fixed,App Development,PayPal,2025-12-09,,92,3,42.41,77.19,4.53,41.76,88
6163,1338,Peopleperhour,Canada,Fixed,Seo,Direct Deposit,2025-05-13,9405.76,211,22,129.92,94.86,3.19,73.9,428
4063,827,Freelancer,Canada,Hourly,Graphic Design,Direct Deposit,2025-01-06,1564.12,208,16,61.35,,4.57,68.76,397
4716,1381,Freelancer,Asia,Fixed,Seo,PayPal,2025-12-12,9487.65,215,57,50.64,89.91,3.45,80.05,81
10819,768,Toptal,Uk,Hourly,Customer Support,Direct Deposit,2025-03-15,8973.83,61,42,125.35,73.1,4.24,25.96,197
10578,1206,Toptal,ASIA,Hourly,Data Entry,Direct Deposit,2025-08-16,9333.87,126,17,,87.61,4.23,40.13,348
11953,1359,Upwork,Usa,Fixed,Seo,Mobile Banking,2025-03-11,,54,50,81.91,,3.06,48.96,413
3878,660,Toptal,Asia,Hourly,Graphic Design,PayPal,2025-06-27,4316.56,89,1,121.88,67.49,3.6,62.75,229
11333,1592,Fiverr,Uk,Hourly,Graphic Design,Bank Transfer,2025-05-18,,255,47,24.52,,3.65,86.2,47
2586,76,Toptal,usa,Hourly,Graphic Design,Direct Deposit,2025-11-06,5077.29,134,49,124.95,66.56,4.86,61.79,146
9480,1941,Peopleperhour,middle east,Fixed,Customer Support,Crypto,2025-12-24,927.71,10,24,124.92,88.46,4.03,83.99,388
1250,1805,upwork,Asia,Fixed,App Development,Direct Deposit,2025-02-05,5076.31,264,26,111.55,96.2,4.69,37.63,88
1684,131,Peopleperhour,Canada,Fixed,Customer Support,Bank Transfer,2025-10-26,6523.78,218,16,58.5,63.79,3.39,65.87,411
10805,1903,FIVERR,EUROPE,Fixed,Web Development,Bank Transfer,2025-11-04,2342.02,245,16,137.81,96.44,3.07,51.25,19
4286,1690,Toptal,Australia,Fixed,Seo,Crypto,2025-04-09,,140,42,60.92,98.55,3.66,58.2,459
9609,1393,Fiverr,UK,Fixed,Digital Marketing,Crypto,2025-10-29,3887.53,156,58,43.33,64.93,3.74,16.24,35
3446,905,FREELANCER,Canada,Hourly,Content Writing,Bank Transfer,2025-12-08,0.0,10,38,102.04,,4.63,82.81,318
10442,1571,Toptal,Uk,Hourly,App Development,Bank Transfer,2025-05-29,4189.74,220,58,41.77,75.09,4.94,18.08,130
4213,1084,Toptal,USA,Hourly,Graphic Design,Mobile Banking,2025-08-13,6121.99,257,19,61.61,90.86,3.4,29.37,390
1303,278,Peopleperhour,Asia,Hourly,App Development,Crypto,2025-05-23,,269,18,80.78,89.91,3.13,87.92,489
4487,399,Upwork,Canada,Fixed,App Development,Mobile Banking,2025-03-10,,217,32,146.64,87.82,3.19,88.36,182
9161,490,Toptal,Australia,Fixed,App Development,Mobile Banking,2025-09-10,4840.68,203,47,20.01,81.61,4.69,15.73,107
8121,1642,Fiverr,Australia,Hourly,  Data Entry  ,Bank Transfer,2025-06-06,6596.02,259,38,63.07,92.45,,85.1,202
3845,776,freelancer,Asia,Fixed,Graphic Design,Mobile Banking,2025-07-30,7310.07,294,38,107.27,93.76,4.74,68.3,500
1214,1235,FREELANCER,MIDDLE EAST,Hourly,App Development,Mobile Banking,2025-07-15,2902.22,26,10,143.99,79.4,4.14,29.86,425
3326,1583,Freelancer,AUSTRALIA,Hourly,Web Development,Crypto,2025-05-03,1510.11,266,22,84.04,78.03,4.7,38.25,353
10364,1043,Peopleperhour,Canada,Hourly,Web Development,Bank Transfer,2025-05-18,2099.92,85,49,77.22,,3.36,82.45,20
1374,1423,Upwork,Australia,Hourly,App Development,Mobile Banking,2025-02-22,9456.2,131,10,38.31,69.99,4.12,24.54,10
6109,946,Peopleperhour,usa,Hourly,Web Development,PayPal,2025-01-01,6941.04,207,4,85.14,71.69,4.85,84.66,493
896,699,Toptal,Canada,Hourly,App Development,Crypto,2025-09-23,6440.81,279,51,50.49,65.05,3.45,46.59,56
9549,84,Freelancer,Middle East,Hourly,Graphic Design,Bank Transfer,2025-03-06,6551.84,26,41,25.04,82.69,3.93,75.18,78
4512,399,Peopleperhour,Middle East,Fixed,Digital Marketing,Direct Deposit,2025-10-23,5425.44,260,9,,95.76,3.57,24.93,119
9911,873,UPWORK,uk,Fixed,Data Entry,Direct Deposit,2025-08-18,237.55,161,12,,60.11,3.62,39.92,175
6336,1773,Fiverr,Asia,Hourly,Graphic Design,Crypto,2025-05-02,1520.89,106,57,124.28,64.21,3.37,27.59,275
6978,864,Peopleperhour,Uk,Hourly,Digital Marketing,Bank Transfer,2025-04-05,7056.63,14,54,31.16,83.48,3.92,25.72,341
1594,852,Peopleperhour,CANADA,Fixed,Content Writing,Bank Transfer,2025-01-03,808.35,37,31,108.4,91.46,4.26,88.2,352
10580,1310,fREELANCER,Middle East,Hourly,Data Entry,Crypto,2025-09-03,0.0,10,45,114.98,,4.5,84.19,53
3985,1619,Freelancer,Usa,Fixed,Seo,Bank Transfer,2025-12-25,8967.13,264,41,68.81,62.09,3.04,23.26,146
6551,717,Upwork,Usa,Fixed,Digital Marketing,Mobile Banking,2025-01-23,7696.06,264,59,39.44,,4.16,62.49,28
10724,653,Fiverr,Uk,Hourly,Seo,Bank Transfer,2025-12-25,5864.65,279,57,123.62,98.01,,18.96,311
5733,1097,Fiverr,Canada,Fixed,Data Entry,Crypto,2025-07-21,5578.97,231,34,48.82,99.87,4.74,57.97,25
7525,870,Peopleperhour,Middle East,Fixed,Data Entry,Mobile Banking,2025-02-18,4791.18,75,36,41.9,97.21,3.65,62.78,475
6971,1341,Peopleperhour,Usa,Hourly,Data Entry,Direct Deposit,2025-08-03,2120.76,70,17,94.08,,4.73,12.03,125
8541,476,PEOPLEPERHOUR,CANADA,Hourly,Web Development,Direct Deposit,2025-05-13,1095.25,30,52,108.51,69.31,3.77,35.62,68
2049,1076,tOPTAL,Asia,Fixed,Digital Marketing,Direct Deposit,2025-02-24,9988.84,148,26,110.58,63.56,4.63,42.36,153
10241,1889,Upwork,Usa,Hourly,Web Development,Crypto,2025-02-11,6594.6,150,47,49.31,67.23,3.38,75.34,416
1543,1827,UPWORK,Canada,Fixed,Content Writing,Mobile Banking,2025-04-10,6487.81,10,31,39.99,88.69,4.23,13.99,389
12377,24,Toptal,Australia,Fixed,Digital Marketing,Crypto,2025-03-14,,57,24,145.65,,3.29,50.44,297
1548,204,Toptal,uk,Hourly,Customer Support,Bank Transfer,2025-04-11,8952.86,268,30,77.07,74.48,4.9,81.54,385
6632,1051,Fiverr,Uk,Fixed,Customer Support,Crypto,2025-08-19,4414.06,193,57,118.05,85.68,4.15,22.08,333
2532,1675,Freelancer,Uk,Fixed,Seo,Mobile Banking,2025-10-19,5684.88,297,23,106.07,76.34,4.58,11.01,402
5713,1149,PEOPLEPERHOUR,CANADA,Hourly,Content Writing,Mobile Banking,2025-12-18,6307.43,86,12,71.78,90.33,3.6,77.19,76
5435,1258,Toptal,Usa,Fixed,Data Entry,Direct Deposit,2025-09-21,785.31,173,14,,77.65,3.95,85.85,106
4739,1860,UPWORK,Middle East,Fixed,Web Development,PayPal,2025-08-19,4493.71,137,9,143.87,,3.27,,312
124,654,Upwork,Europe,Fixed,Content Writing,Direct Deposit,2025-10-15,2711.34,127,16,29.33,65.64,3.1,85.63,442
3392,241,Freelancer,Uk,Hourly,  Digital Marketing  ,PayPal,2025-01-31,,204,1,65.56,95.74,3.78,,344
1769,826,Freelancer,Uk,Hourly,Customer Support,Mobile Banking,2025-02-26,2659.53,47,53,80.75,,4.22,22.38,236
1634,1432,Peopleperhour,Australia,Fixed,Customer Support,Mobile Banking,2025-06-03,1658.07,204,57,38.3,88.61,4.49,,32
4557,284,fREELANCER,Asia,Hourly,Digital Marketing,Mobile Banking,2025-11-13,9735.62,125,15,94.03,67.87,4.85,89.51,286
9788,34,Upwork,Middle East,Hourly,Web Development,Crypto,2025-01-01,3469.81,59,23,68.05,74.57,,84.02,432
5981,1661,Fiverr,MIDDLE EAST,Fixed,Customer Support,Mobile Banking,2025-05-08,600.29,8,49,139.55,74.56,3.96,,105
8991,457,Toptal,Asia,Fixed,  Data Entry  ,Bank Transfer,2025-03-30,899.89,54,42,109.27,91.83,3.12,77.04,14
10867,1657,Peopleperhour,Middle East,Fixed,  Digital Marketing  ,Direct Deposit,2025-01-16,,247,21,83.93,99.23,3.07,24.92,343
12310,636,Toptal,Usa,Hourly,Digital Marketing,Direct Deposit,2025-09-08,,231,9,64.37,74.81,3.0,52.76,140
5229,204,Toptal,Europe,Fixed,Content Writing,Bank Transfer,2025-01-04,8797.04,37,1,48.75,76.47,4.68,69.12,13
3006,1134,Freelancer,Usa,Fixed,Seo,Mobile Banking,2025-01-27,4467.29,190,24,80.83,97.88,4.44,61.08,477
7630,767,Toptal,Middle East,Fixed,Data Entry,Mobile Banking,2025-07-01,4563.34,284,43,90.42,76.38,4.04,45.24,173
20,939,Freelancer,usa,Fixed,App Development,Direct Deposit,2025-04-20,8814.6,126,9,83.29,74.78,3.32,76.7,360
985,1698,Peopleperhour,Europe,Fixed,Data Entry,Direct Deposit,2025-01-04,2693.18,192,48,,80.44,3.32,26.13,311
6324,1575,Upwork,Australia,Fixed,Web Development,Crypto,2025-03-20,7126.88,150,23,,69.32,4.27,55.64,96
6564,25,tOPTAL,Usa,Hourly,Web Development,Bank Transfer,2025-11-23,9814.88,241,40,70.78,82.76,3.7,,445
1067,1498,Upwork,Australia,Hourly,Customer Support,Mobile Banking,2025-03-24,3646.22,148,14,137.3,72.38,4.08,53.89,35
10670,285,Fiverr,Europe,Fixed,Graphic Design,PayPal,2025-09-23,4927.19,231,4,113.39,83.2,4.73,40.84,110
3428,914,Fiverr,Middle East,Hourly,Customer Support,PayPal,2025-05-05,8999.59,166,41,141.47,72.11,3.97,42.81,292
3222,1089,Peopleperhour,Uk,Hourly,Data Entry,Direct Deposit,2025-11-05,7854.81,30,40,19.0,61.48,4.38,43.41,136
2356,676,UPWORK,usa,Hourly,Content Writing,Mobile Banking,2025-12-06,7918.5,191,53,68.92,93.03,3.92,40.83,346
5889,748,Freelancer,Australia,Hourly,Seo,Direct Deposit,2025-08-23,8466.03,25,59,78.2,90.94,4.59,70.03,481
6561,627,upwork,Asia,Fixed,Data Entry,Direct Deposit,2025-04-19,4573.65,286,6,31.05,87.31,3.57,62.83,18
89,419,Upwork,Australia,Fixed,Customer Support,Crypto,2025-06-17,1798.16,195,32,31.2,81.3,3.46,54.7,342
10235,252,Peopleperhour,usa,Hourly,Graphic Design,PayPal,2025-04-08,7905.41,99,13,63.35,89.56,3.6,65.49,47
5515,448,Upwork,Usa,Fixed,Web Development,Bank Transfer,2025-04-11,9138.08,289,52,148.86,71.79,3.52,72.76,414
4296,1820,fiverr,CANADA,Fixed,Digital Marketing,Crypto,2025-03-17,5003.3,294,47,132.65,86.3,5.0,18.45,436
2406,393,Peopleperhour,Middle East,Fixed,Graphic Design,Mobile Banking,2025-07-04,3438.41,35,1,113.66,,3.86,70.72,163
9807,106,Upwork,Middle East,Fixed,Graphic Design,PayPal,2025-03-19,4961.71,158,56,54.58,83.73,3.47,58.55,194
543,1726,Peopleperhour,usa,Hourly,Web Development,PayPal,2025-10-01,6999.37,72,20,,89.0,5.0,80.26,107
851,1169,Toptal,Asia,Hourly,Digital Marketing,PayPal,2025-10-19,,200,44,99.44,82.08,4.73,78.02,82
2997,662,Peopleperhour,canada,Fixed,Digital Marketing,Bank Transfer,2025-02-20,253.68,127,18,68.91,85.09,4.99,58.25,253
9453,873,Freelancer,Usa,Fixed,  Content Writing  ,Direct Deposit,2025-09-02,3122.57,261,8,22.84,71.19,3.28,29.72,367
3693,1091,Freelancer,MIDDLE EAST,Fixed,Customer Support,Mobile Banking,2025-02-22,4181.42,54,31,144.94,60.69,3.09,82.8,19
9027,1682,Fiverr,Middle East,Hourly,Seo,Crypto,2025-05-07,4242.25,75,31,103.73,75.86,4.13,39.96,248
9320,1227,Peopleperhour,Asia,Hourly,Graphic Design,Bank Transfer,2025-12-04,1502.54,237,21,33.32,73.7,4.75,11.53,51
7341,1650,Upwork,Asia,Fixed,Seo,PayPal,2025-02-09,123.97,228,32,100.07,73.04,3.22,55.8,18
11914,1122,Upwork,Middle East,Fixed,  Web Development  ,PayPal,2025-08-29,309.82,227,6,37.83,67.16,3.89,48.54,12
2513,1673,Toptal,Canada,Fixed,Web Development,Direct Deposit,2025-06-10,1315.71,5,48,130.57,67.51,4.91,46.34,51
7232,936,Peopleperhour,Europe,Fixed,Content Writing,Mobile Banking,2025-03-29,5736.6,199,23,68.63,92.34,4.32,36.39,337
2496,1792,Fiverr,Uk,Hourly,Seo,Crypto,2025-01-04,8341.73,224,17,114.77,77.16,4.05,,276
4396,672,Upwork,Usa,Fixed,Graphic Design,Direct Deposit,2025-07-12,6813.98,267,13,26.91,79.46,3.0,37.05,245
929,1136,Fiverr,Uk,Fixed,Content Writing,PayPal,2025-05-03,4072.63,184,32,144.65,62.34,4.96,,431
8165,169,Peopleperhour,Asia,Hourly,Graphic Design,Mobile Banking,2025-08-27,6536.23,61,49,108.63,66.92,4.53,43.56,176
5100,632,Fiverr,Europe,Hourly,Data Entry,Bank Transfer,2025-12-24,,80,53,146.66,97.98,4.43,48.53,322
5383,1561,Freelancer,Usa,Fixed,Content Writing,Crypto,2025-08-18,0.0,6,27,19.84,63.46,4.22,69.58,370
4503,1700,Upwork,Usa,Fixed,Content Writing,Direct Deposit,2025-06-19,333.07,273,19,50.38,99.79,4.47,27.96,408
3805,1655,upwork,CANADA,Hourly,Digital Marketing,Mobile Banking,2025-08-11,7482.54,281,31,144.4,73.71,3.35,59.68,453
4659,251,PEOPLEPERHOUR,Europe,Fixed,Seo,PayPal,2025-03-10,,113,59,,72.41,4.07,47.94,348
5951,219,Freelancer,Canada,Fixed,  Customer Support  ,Direct Deposit,2025-07-10,5637.52,297,28,19.29,83.42,3.5,62.72,444
2086,891,Freelancer,AUSTRALIA,Fixed,App Development,Mobile Banking,2025-12-30,9003.53,219,8,68.51,84.49,4.67,47.7,346
9414,1287,Upwork,usa,Hourly,Content Writing,Direct Deposit,2025-08-18,2030.55,170,56,,65.05,4.85,32.93,233
3380,618,Peopleperhour,Australia,Hourly,Data Entry,Crypto,2025-06-23,2891.79,193,35,122.59,89.63,4.7,45.68,415
4266,1854,Fiverr,Canada,Hourly,Data Entry,PayPal,2025-03-10,3880.28,143,38,22.11,92.77,3.77,54.14,383
5014,391,fIVERR,Uk,Hourly,Data Entry,Bank Transfer,2025-09-19,8830.74,114,22,73.15,65.18,3.87,76.16,316
8994,1650,Freelancer,Canada,Fixed,Web Development,Crypto,2025-04-17,7680.44,114,50,77.41,81.13,3.99,67.13,391
12268,858,Peopleperhour,Asia,Fixed,Content Writing,PayPal,2025-07-18,3784.24,10,35,132.86,85.89,4.26,31.23,144
7351,124,peopleperhour,Uk,Hourly,Customer Support,Crypto,2025-01-10,8992.5,248,40,88.04,91.41,3.88,67.49,427
388,306,PEOPLEPERHOUR,Uk,Fixed,Web Development,Direct Deposit,2025-10-14,5516.19,139,14,84.4,,4.41,32.66,125
1120,81,Toptal,Canada,Fixed,App Development,Bank Transfer,2025-11-10,3308.04,200,32,117.78,63.81,4.92,78.67,398
6903,1386,Upwork,Uk,Fixed,Digital Marketing,Direct Deposit,2025-04-13,,254,2,84.23,90.27,3.38,34.17,299
9174,960,Freelancer,Asia,Fixed,Web Development,Direct Deposit,2025-11-10,,172,27,132.99,77.18,3.2,45.57,63
103,1057,Fiverr,Uk,Fixed,Data Entry,Crypto,2025-08-19,962.55,114,10,137.22,92.67,4.77,84.44,212
3112,1209,FREELANCER,Middle East,Fixed,Digital Marketing,PayPal,2025-01-22,5141.21,51,41,74.22,94.39,3.17,,455
8289,278,Peopleperhour,Asia,Hourly,Seo,PayPal,2025-07-27,,97,43,135.27,66.84,3.05,,467
9361,817,Fiverr,Europe,Hourly,Content Writing,Crypto,2025-03-08,4099.21,287,8,19.96,62.37,3.43,35.36,438
